nom,description,prix,etage,id_hotel,checkInDate,checkOutDate,roomQuantity
Chambre 0,Chambre élégante avec décoration raffinée,27619,15,ACPARF58,,,
Chambre 1,Chambre moderne avec télévision à écran plat,33474,4,ACPARF58,,,
Chambre 2,Chambre confortable avec balcon,39567,5,ACPARF58,,,
Chambre 3,Chambre moderne avec télévision à écran plat,31307,17,ACPARF58,,,
Chambre 4,Chambre moderne avec télévision à écran plat,35044,15,ACPARF58,,,
Chambre 5,Belle chambre avec vue sur la mer,32383,12,ACPARF58,,,
Chambre 6,Suite spacieuse avec jacuzzi,30935,13,ACPARF58,,,
Chambre 7,Belle chambre avec vue sur la mer,31560,5,ACPARF58,,,
Chambre 8,Suite spacieuse avec jacuzzi,37732,3,ACPARF58,,,
Chambre 9,Chambre élégante avec décoration raffinée,29637,2,ACPARF58,,,
Chambre 0,Chambre moderne avec télévision à écran plat,36453,12,ACPARF78,,,
Chambre 1,Chambre moderne avec télévision à écran plat,37416,18,ACPARF78,,,
Chambre 2,Suite spacieuse avec jacuzzi,30034,5,ACPARF78,,,
Chambre 3,Belle chambre avec vue sur la mer,39794,7,ACPARF78,,,
Chambre 4,Chambre confortable avec balcon,30404,12,ACPARF78,,,
Chambre 5,Chambre moderne avec télévision à écran plat,39544,5,ACPARF78,,,
Chambre 6,Suite spacieuse avec jacuzzi,38880,10,ACPARF78,,,
Chambre 7,Belle chambre avec vue sur la mer,31150,15,ACPARF78,,,
Chambre 8,Suite spacieuse avec jacuzzi,30791,11,ACPARF78,,,
Chambre 9,Suite spacieuse avec jacuzzi,36866,2,ACPARF78,,,
Chambre 0,Chambre confortable avec balcon,33766,11,ACPARF06,,,
Chambre 1,Suite spacieuse avec jacuzzi,30674,12,ACPARF06,,,
Chambre 2,Chambre moderne avec télévision à écran plat,30669,9,ACPARF06,,,
Chambre 3,Chambre élégante avec décoration raffinée,28725,6,ACPARF06,,,
Chambre 4,Chambre élégante avec décoration raffinée,33330,1,ACPARF06,,,
Chambre 5,Chambre moderne avec télévision à écran plat,29267,2,ACPARF06,,,
Chambre 6,Suite spacieuse avec jacuzzi,29639,19,ACPARF06,,,
Chambre 7,Chambre élégante avec décoration raffinée,38454,5,ACPARF06,,,
Chambre 8,Chambre moderne avec télévision à écran plat,30302,19,ACPARF06,,,
Chambre 9,Chambre élégante avec décoration raffinée,34129,15,ACPARF06,,,
Chambre 0,Suite spacieuse avec jacuzzi,31023,19,ACPAR733,,,
Chambre 1,Belle chambre avec vue sur la mer,39645,20,ACPAR733,,,
Chambre 2,Belle chambre avec vue sur la mer,30453,8,ACPAR733,,,
Chambre 3,Chambre moderne avec télévision à écran plat,35596,8,ACPAR733,,,
Chambre 4,Suite spacieuse avec jacuzzi,36781,12,ACPAR733,,,
Chambre 5,Chambre confortable avec balcon,38283,15,ACPAR733,,,
Chambre 6,Chambre élégante avec décoration raffinée,26636,15,ACPAR733,,,
Chambre 7,Suite spacieuse avec jacuzzi,27614,4,ACPAR733,,,
Chambre 8,Belle chambre avec vue sur la mer,34007,9,ACPAR733,,,
Chambre 9,Chambre élégante avec décoration raffinée,29061,2,ACPAR733,,,
Chambre 0,Suite spacieuse avec jacuzzi,38860,3,ACPAR163,,,
Chambre 1,Chambre élégante avec décoration raffinée,39704,2,ACPAR163,,,
Chambre 2,Belle chambre avec vue sur la mer,27962,18,ACPAR163,,,
Chambre 3,Belle chambre avec vue sur la mer,33530,18,ACPAR163,,,
Chambre 4,Chambre moderne avec télévision à écran plat,32907,12,ACPAR163,,,
Chambre 5,Suite spacieuse avec jacuzzi,38383,3,ACPAR163,,,
Chambre 6,Belle chambre avec vue sur la mer,38038,6,ACPAR163,,,
Chambre 7,Chambre confortable avec balcon,38666,1,ACPAR163,,,
Chambre 8,Chambre confortable avec balcon,29837,12,ACPAR163,,,
Chambre 9,Chambre moderne avec télévision à écran plat,27795,8,ACPAR163,,,
Chambre 0,Chambre moderne avec télévision à écran plat,38163,8,ACPAR571,,,
Chambre 1,Chambre moderne avec télévision à écran plat,28524,13,ACPAR571,,,
Chambre 2,Belle chambre avec vue sur la mer,38721,13,ACPAR571,,,
Chambre 3,Chambre élégante avec décoration raffinée,30905,17,ACPAR571,,,
Chambre 4,Chambre moderne avec télévision à écran plat,32417,10,ACPAR571,,,
Chambre 5,Chambre confortable avec balcon,26046,6,ACPAR571,,,
Chambre 6,Chambre confortable avec balcon,28127,16,ACPAR571,,,
Chambre 7,Suite spacieuse avec jacuzzi,38115,14,ACPAR571,,,
Chambre 8,Chambre moderne avec télévision à écran plat,33636,12,ACPAR571,,,
Chambre 9,Belle chambre avec vue sur la mer,28633,20,ACPAR571,,,
Chambre 0,Chambre confortable avec balcon,31788,3,ACPAR419,,,
Chambre 1,Chambre élégante avec décoration raffinée,25170,1,ACPAR419,,,
Chambre 2,Chambre élégante avec décoration raffinée,25747,1,ACPAR419,,,
Chambre 3,Suite spacieuse avec jacuzzi,35351,9,ACPAR419,,,
Chambre 4,Suite spacieuse avec jacuzzi,27040,12,ACPAR419,,,
