chainCode,iataCode,dupeId,name,hotelId,geoCode,address,giataId,lastUpdate
AR,MAD,700025872,AC BY MARRIOTT ALCALA DE HENAR,ARMADALC,"{'latitude': 40.5028, 'longitude': -3.36574}",{'countryCode': 'ES'},49342,2023-06-15T09:53:25
AR,MAD,700025393,AC BY MARRIOTT GUADALAJARA,ARMADGUA,"{'latitude': 40.63472, 'longitude': -3.17281}",{'countryCode': 'ES'},48764,2023-06-15T09:53:25
AR,MAD,700142091,AC BY MARRIOTT HOTEL ATOCHA,ARMADATO,"{'latitude': 40.40393, 'longitude': -3.68976}",{'countryCode': 'ES'},228494,2023-06-15T10:19:04
AR,MAD,700032826,AC BY MARRIOTT COSLADA AEROPUE,ARMADCOS,"{'latitude': 40.44518, 'longitude': -3.54075}",{'countryCode': 'ES'},60623,2023-06-15T09:52:54
AR,MAD,700025394,AC BY MARRIOTT HOTEL ARAVACA,ARMADACH,"{'latitude': 40.46466, 'longitude': -3.78494}",{'countryCode': 'ES'},48765,2023-06-15T09:59:26
AR,MAD,700024391,AC BY MARRIOTT AVENIDA AMERICA,ARMADAVE,"{'latitude': 40.43804, 'longitude': -3.67244}",{'countryCode': 'ES'},47176,2023-06-15T09:53:09
AR,MAD,700025974,AC BY MARRIOTT LOS VASCOS,ARMADVAS,"{'latitude': 40.44901, 'longitude': -3.71128}",{'countryCode': 'ES'},49455,2023-06-15T09:52:38
AR,MAD,700025809,AC BY MARRIOTT HOTEL CUZCO,ARMADCUZ,"{'latitude': 40.45856, 'longitude': -3.69038}",{'countryCode': 'ES'},49269,2023-06-15T09:52:38
AR,MAD,700017113,AC BY MARRIOTT HOTEL AITANA,ARMADAIT,"{'latitude': 40.45606, 'longitude': -3.68986}",{'countryCode': 'ES'},29740,2023-06-15T09:59:10
AR,MAD,700024508,AC CARLTON MADRID,ARMADCAR,"{'latitude': 40.40516, 'longitude': -3.69347}",{'countryCode': 'ES'},47348,2023-06-15T10:16:43
AR,MAD,700046865,AC BY MARRIOTT HOTEL RECOLETOS,ARMADREC,"{'latitude': 40.42156, 'longitude': -3.68946}",{'countryCode': 'ES'},85737,2023-06-15T09:53:09
AR,MAD,700045200,AC BY MARRIOTT HOTEL MADRID FE,ARMADFER,"{'latitude': 40.47578, 'longitude': -3.63639}",{'countryCode': 'ES'},82763,2023-06-15T09:52:06
